transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,payment_method,merchant_category
T00252,C0234,2022-02-10,Withdrawal,5276.36,UPI,Other
T00253,C0172,2024-07-22,Withdrawal,6381.92,Card,Healthcare
T00254,C0152,2022-02-03,Transfer,6218.4,Cash,Food
T00255,C0463,2024-11-06,Transfer,12093.92,Cash,Food
T00256,C0315,2025-03-22,Withdrawal,1910.25,UPI,Retail
T00257,C0374,2024-09-24,Purchase,7754.32,Cash,Travel
T00258,C0160,2025-11-02,Withdrawal,11682.4,Net Banking,Education
T00259,C0096,2023-08-11,Payment,1084.6,Card,Food
T00260,C0472,2022-12-08,Withdrawal,5811.27,Card,Retail
T00261,C0233,2022-01-27,Payment,3006.37,Cash,Other
T00262,C0180,2025-08-03,Transfer,4215.88,Cash,Travel
T00263,C0113,2023-10-08,Purchase,5943.03,Net Banking,Travel
T00264,C0318,2024-01-01,Transfer,3047.42,Net Banking,Retail
T00265,C0497,2022-06-17,Payment,2620.88,Cash,Retail
T00266,C0442,2023-09-02,Payment,4624.64,Cash,Education
T00267,C0052,2022-09-25,Payment,1885.67,Net Banking,Retail
T00268,C0268,2024-03-31,Purchase,1887.81,UPI,Education
T00269,C0295,2023-03-31,Withdrawal,7749.09,Net Banking,Education
T00270,C0386,2024-06-24,Transfer,1795.07,UPI,Healthcare
T00271,C0387,2025-11-25,Transfer,7668.55,Card,Travel
T00272,C0113,2024-07-10,Withdrawal,6515.28,Card,Other
T00273,C0101,2024-09-07,Transfer,1131.37,Net Banking,Travel
T00274,C0113,2023-12-03,Purchase,2616.99,UPI,Travel
T00275,C0440,2023-09-26,Transfer,11697.38,Net Banking,Healthcare
T00276,C0081,2022-05-10,Payment,2052.68,Net Banking,Education
T00277,C0187,2024-10-16,Withdrawal,3103.57,UPI,Education
T00278,C0113,2025-10-18,Purchase,6512.52,Net Banking,Retail
T00279,C0002,2024-03-29,Withdrawal,8421.52,Card,Healthcare
T00280,C0130,2023-11-24,Purchase,3679.76,Cash,Retail
T00281,C0220,2025-08-08,Payment,2790.08,Cash,Healthcare
T00282,C0054,2025-10-26,Withdrawal,14040.88,Net Banking,Retail
T00283,C0343,2024-03-04,Transfer,18087.07,UPI,Food
T00284,C0485,2022-01-29,Purchase,9846.97,UPI,Travel
T00285,C0224,2022-05-29,Withdrawal,4817.87,Card,Travel
T00286,C0225,2025-08-12,Transfer,2357.18,UPI,Other
T00287,C0385,2022-01-11,Withdrawal,2315.72,UPI,Education
T00288,C0403,2023-11-07,Withdrawal,6835.22,Card,Other
T00289,C0126,2025-02-10,Withdrawal,6288.96,Net Banking,Food
T00290,C0130,2022-07-06,Purchase,13809.49,Cash,Other
T00291,C0053,2024-03-17,Transfer,7571.85,Card,Travel
T00292,C0172,2024-01-14,Payment,1352.04,Net Banking,Education
T00293,C0218,2025-06-04,Purchase,10439.91,Card,Food
T00294,C0160,2025-08-26,Purchase,2025.12,Net Banking,Travel
T00295,C0198,2022-04-08,Purchase,3309.84,Card,Retail
T00296,C0416,2022-02-24,Payment,5497.19,Net Banking,Healthcare
T00297,C0247,2023-09-15,Transfer,22211.53,Card,Food
T00298,C0324,2023-10-26,Transfer,54163.77,Net Banking,Education
T00299,C0439,2024-01-28,Transfer,7311.55,Card,Other
T00300,C0203,2023-02-10,Withdrawal,3886.54,Cash,Other
T00301,C0184,2022-03-10,Withdrawal,6901.11,Cash,Food
T00302,C0123,2025-08-28,Withdrawal,9154.1,UPI,Education
T00303,C0401,2025-08-05,Payment,3481.78,Net Banking,Food
T00304,C0255,2024-01-21,Withdrawal,18920.51,Card,Education
T00305,C0294,2025-03-17,Payment,5409.38,Net Banking,Other
T00306,C0280,2025-06-21,Transfer,6701.1,Cash,Travel
T00307,C0325,2024-08-15,Withdrawal,7666.17,Net Banking,Retail
T00308,C0372,2022-12-31,Withdrawal,6305.02,Card,Travel
T00309,C0098,2023-04-27,Purchase,8804.21,Net Banking,Retail
T00310,C0198,2022-07-20,Payment,2746.36,Card,Other
T00311,C0470,2022-06-03,Transfer,2878.98,Cash,Travel
T00312,C0395,2022-03-14,Purchase,1866.29,Cash,Travel
T00313,C0240,2023-12-14,Purchase,6396.04,Cash,Food
T00314,C0144,2022-10-23,Transfer,8391.56,UPI,Healthcare
T00315,C0097,2024-11-06,Purchase,6490.22,Cash,Other
T00316,C0201,2025-05-25,Payment,17178.72,Net Banking,Education
T00317,C0124,2022-03-02,Payment,4479.9,UPI,Other
T00318,C0187,2024-07-27,Withdrawal,7683.47,Cash,Education
T00319,C0326,2022-02-11,Purchase,1878.96,Net Banking,Education
T00320,C0464,2022-01-25,Withdrawal,3301.57,Net Banking,Retail
T00321,C0349,2024-11-28,Purchase,7849.95,Net Banking,Education
T00322,C0259,2022-05-11,Payment,8876.07,Card,Education
T00323,C0148,2025-06-06,Payment,3556.95,UPI,Food
T00324,C0252,2022-04-18,Payment,4249.49,Net Banking,Travel
T00325,C0443,2022-06-21,Purchase,1336.13,Card,Other
T00326,C0420,2025-12-29,Payment,3381.96,Cash,Other
T00327,C0403,2022-04-12,Purchase,9174.1,Net Banking,Education
T00328,C0346,2024-05-15,Withdrawal,7129.5,Card,Healthcare
T00329,C0451,2023-06-08,Purchase,6716.79,Net Banking,Other
T00330,C0147,2022-10-02,Withdrawal,4682.8,UPI,Education
T00331,C0148,2024-12-03,Purchase,4525.5,UPI,Retail
T00332,C0352,2024-03-27,Withdrawal,2653.34,Cash,Retail
T00333,C0199,2024-08-14,Payment,7870.65,Net Banking,Retail
T00334,C0308,2024-11-06,Withdrawal,6301.93,Card,Education
T00335,C0489,2022-11-26,Payment,6670.48,Cash,Food
T00336,C0417,2022-01-12,Payment,2954.26,Net Banking,Healthcare
T00337,C0424,2025-09-03,Withdrawal,803.65,Cash,Education
T00338,C0128,2022-08-04,Purchase,10824.36,Card,Food
T00339,C0039,2022-12-05,Purchase,3067.94,Cash,Food
T00340,C0338,2023-10-23,Transfer,2256.59,Cash,Other
T00341,C0360,2025-01-09,Purchase,7837.03,Cash,Education
T00342,C0129,2023-01-09,Transfer,3288.62,Net Banking,Education
T00343,C0267,2024-09-02,Purchase,10506.84,Card,Food
T00344,C0476,2023-12-11,Purchase,7371.95,UPI,Food
T00345,C0441,2025-05-08,Payment,7775.15,Net Banking,Food
T00346,C0473,2023-04-11,Transfer,1508.8,UPI,Other
T00347,C0434,2025-01-17,Purchase,11865.47,UPI,Education
T00348,C0151,2025-07-15,Transfer,5546.0,Net Banking,Food
T00349,C0415,2023-05-04,Payment,3348.98,Net Banking,Retail
T00350,C0478,2022-02-16,Payment,5046.97,Card,Education
T00351,C0298,2025-08-04,Transfer,1086.64,Card,Other
T00352,C0099,2024-02-17,Payment,6240.12,Cash,Retail
T00353,C0263,2024-11-05,Withdrawal,1975.02,UPI,Travel
T00354,C0252,2023-12-12,Withdrawal,1524.92,Card,Education
T00355,C0144,2023-02-05,Payment,1331.35,Cash,Travel
T00356,C0346,2024-09-07,Withdrawal,10959.73,Card,Food
T00357,C0112,2025-01-14,Purchase,2720.09,Net Banking,Other
T00358,C0500,2022-09-07,Transfer,15349.14,Card,Food
T00359,C0060,2023-01-26,Purchase,2931.27,UPI,Other
T00360,C0369,2022-12-01,Transfer,1148.19,Card,Healthcare
T00361,C0002,2023-09-21,Payment,1842.01,UPI,Food
T00362,C0385,2022-05-17,Purchase,12094.21,Net Banking,Travel
T00363,C0304,2024-06-01,Payment,3972.35,UPI,Other
T00364,C0254,2023-11-19,Payment,2902.14,Card,Food
T00365,C0140,2024-04-06,Transfer,5114.56,Cash,Education
T00366,C0453,2023-12-28,Transfer,6722.79,Net Banking,Other
T00367,C0037,2023-08-17,Transfer,11001.11,Card,Other
T00368,C0160,2025-05-31,Purchase,14337.48,Net Banking,Food
T00369,C0009,2024-09-16,Withdrawal,3374.55,Net Banking,Healthcare
T00370,C0233,2023-01-07,Transfer,1557.74,Card,Food
T00371,C0099,2024-07-23,Transfer,3232.66,Card,Travel
T00372,C0147,2024-09-21,Purchase,5541.7,Cash,Travel
T00373,C0304,2023-02-06,Transfer,2081.46,Net Banking,Other
T00374,C0208,2023-09-07,Purchase,2092.49,Net Banking,Other
T00375,C0131,2025-07-20,Payment,5924.57,Card,Food
T00376,C0404,2025-03-28,Transfer,4328.22,UPI,Travel
T00377,C0152,2025-03-21,Transfer,4619.63,Card,Travel
T00378,C0054,2024-09-21,Payment,2452.92,Net Banking,Healthcare
T00379,C0120,2023-09-12,Payment,3742.51,Card,Education
T00380,C0161,2022-07-07,Payment,2148.33,Cash,Healthcare
T00381,C0408,2025-01-26,Transfer,9172.74,UPI,Retail
T00382,C0116,2022-05-11,Withdrawal,10301.37,Card,Healthcare
T00383,C0075,2024-03-15,Withdrawal,1027.5,Cash,Food
T00384,C0113,2025-04-09,Withdrawal,2139.28,Net Banking,Education
T00385,C0456,2024-07-24,Transfer,1359.14,Card,Food
T00386,C0420,2024-09-12,Payment,2675.29,Net Banking,Retail
T00387,C0422,2022-07-02,Transfer,4209.43,Cash,Education
T00388,C0104,2024-09-09,Payment,1411.09,Net Banking,Other
T00389,C0340,2022-12-30,Transfer,2152.41,Cash,Travel
T00390,C0254,2022-02-08,Transfer,2015.59,Cash,Healthcare
T00391,C0227,2023-05-12,Payment,5311.59,Cash,Food
T00392,C0112,2025-10-04,Withdrawal,4756.69,Card,Retail
T00393,C0473,2024-09-08,Payment,2526.13,Net Banking,Travel
T00394,C0099,2024-07-09,Purchase,5183.78,Net Banking,Healthcare
T00395,C0153,2025-11-21,Purchase,2905.87,UPI,Travel
T00396,C0349,2023-12-23,Payment,3621.01,UPI,Healthcare
T00397,C0402,2025-03-30,Transfer,17164.43,UPI,Other
T00398,C0384,2022-01-16,Purchase,13150.32,UPI,Education
T00399,C0366,2023-05-08,Purchase,1591.08,Net Banking,Travel
T00400,C0338,2025-12-20,Transfer,8739.59,Cash,Travel
T00401,C0194,2025-02-05,Transfer,8612.33,Cash,Travel
T00402,C0310,2024-06-12,Withdrawal,1795.83,Card,Education
T00403,C0163,2022-11-07,Transfer,8663.33,Cash,Retail
T00404,C0208,2024-01-09,Payment,15400.85,Net Banking,Healthcare
T00405,C0445,2025-04-08,Payment,1833.16,Net Banking,Other
T00406,C0169,2023-06-30,Withdrawal,2159.93,Net Banking,Travel
T00407,C0484,2023-02-18,Purchase,10157.44,Card,Education
T00408,C0161,2022-09-08,Purchase,5591.65,UPI,Retail
T00409,C0068,2024-01-29,Transfer,6995.44,Cash,Healthcare
T00410,C0289,2025-03-10,Payment,5909.43,Net Banking,Education
T00411,C0398,2025-07-21,Purchase,6151.12,Net Banking,Other
T00412,C0277,2025-12-10,Withdrawal,1557.22,UPI,Other
T00413,C0304,2024-11-28,Withdrawal,10401.31,Net Banking,Healthcare
T00414,C0404,2024-03-24,Payment,11470.17,Cash,Travel
T00415,C0384,2022-01-29,Withdrawal,3745.54,Card,Other
T00416,C0392,2024-08-15,Withdrawal,4346.17,Net Banking,Retail
T00417,C0135,2023-04-22,Payment,1322.06,Cash,Education
T00418,C0195,2022-11-14,Transfer,6790.21,Net Banking,Retail
